run_timestamp_utc,search_date,origin,destination,outbound_date,return_date,nights,best_price,currency,adults,airline,stops,depart_time,route,source,booking_link,is_cheapest_this_run
2026-06-03T05:26:21+00:00,2026-06-03,LGW,ALC,2026-07-08,2026-07-13,5,27.99,GBP,2,Ryanair,0,2026-07-08T20:10:00,LGW-ALC,ryanair,https://www.google.com/travel/flights?q=Flights+to+ALC+from+LGW+on+2026-07-08+returning+2026-07-13&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,LGW,ALC,2026-07-08,2026-07-14,6,27.99,GBP,2,Ryanair,0,2026-07-08T20:10:00,LGW-ALC,ryanair,https://www.google.com/travel/flights?q=Flights+to+ALC+from+LGW+on+2026-07-08+returning+2026-07-14&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,LGW,ALC,2026-07-08,2026-07-15,7,27.99,GBP,2,Ryanair,0,2026-07-08T20:10:00,LGW-ALC,ryanair,https://www.google.com/travel/flights?q=Flights+to+ALC+from+LGW+on+2026-07-08+returning+2026-07-15&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,LGW,ALC,2026-07-09,2026-07-14,5,63.0,GBP,2,FR,0,2026-06-20T18:40:00+01:00,LGW-ALC,cached,https://www.google.com/travel/flights?q=Flights+to+ALC+from+LGW+on+2026-07-09+returning+2026-07-14&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,LGW,ALC,2026-07-09,2026-07-15,6,63.0,GBP,2,FR,0,2026-06-20T18:40:00+01:00,LGW-ALC,cached,https://www.google.com/travel/flights?q=Flights+to+ALC+from+LGW+on+2026-07-09+returning+2026-07-15&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,LGW,ALC,2026-07-09,2026-07-16,7,63.0,GBP,2,FR,0,2026-06-20T18:40:00+01:00,LGW-ALC,cached,https://www.google.com/travel/flights?q=Flights+to+ALC+from+LGW+on+2026-07-09+returning+2026-07-16&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,LGW,ALC,2026-07-10,2026-07-15,5,63.0,GBP,2,Ryanair,0,2026-07-10T12:20:00,LGW-ALC,cached,https://www.google.com/travel/flights?q=Flights+to+ALC+from+LGW+on+2026-07-10+returning+2026-07-15&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,LGW,ALC,2026-07-10,2026-07-16,6,63.0,GBP,2,Ryanair,0,2026-07-10T12:20:00,LGW-ALC,cached,https://www.google.com/travel/flights?q=Flights+to+ALC+from+LGW+on+2026-07-10+returning+2026-07-16&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,LGW,ALC,2026-07-11,2026-07-16,5,26.99,GBP,2,Ryanair,0,2026-07-11T18:40:00,LGW-ALC,ryanair,https://www.google.com/travel/flights?q=Flights+to+ALC+from+LGW+on+2026-07-11+returning+2026-07-16&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,LGW,RMU,2026-07-02,2026-07-07,5,104.0,GBP,2,easyJet,0,2026-07-02T17:15:00,LGW-RMU,google,https://www.google.com/travel/flights?q=Flights+to+RMU+from+LGW+on+2026-07-02+returning+2026-07-07&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,LGW,RMU,2026-07-02,2026-07-08,6,103.0,GBP,2,easyJet,0,2026-07-02T17:15:00,LGW-RMU,google,https://www.google.com/travel/flights?q=Flights+to+RMU+from+LGW+on+2026-07-02+returning+2026-07-08&curr=GBP,
2026-06-03T05:26:21+00:00,2026-06-03,LGW,RMU,2026-07-02,2026-07-09,7,103.0,GBP,2,easyJet,0,2026-07-02T17:15:00,LGW-RMU,google,https://www.google.com/travel/flights?q=Flights+to+RMU+from+LGW+on+2026-07-02+returning+2026-07-09&curr=GBP,
